rank,name,location,year,USnewsRate,peer,superRate,gre_verbal,gre_quant,doc_accept,sf_ratio,phd_fac_ratio,total_research,avg_research,enroll,tuition,tuition_out_state,tuition_unit
44,Florida State University ,"Tallahassee, FL",2014,57,3.4,3.8,153,150,35.5,3.4,0.9,12.8,170.9,1069,404,1035,credit
44,George Washington University ,"Washington, DC",2014,57,3.4,4,156,152,49.1,5.3,1.2,12.7,259.9,1699,1310,,credit
46,University of Miami ,"Coral Gables, FL",2014,56,3.2,3.8,158,152,15.8,3.4,0.4,6.3,196.5,310,1660,,credit
47,"Rutgers, the State University of New Jersey-New Brunswick ","New Brunswick, NJ",2014,55,3.4,3.8,156,152,47.1,2.7,0.5,8.8,184.2,1008,15024,24600,year
47,Temple University ,"Philadelphia, PA",2014,55,3.1,4.1,155,151,61.8,5.2,0.8,14.8,344.9,1153,687,961,credit
47,Texas A&M University-College Station,"College Station, TX",2014,55,3.6,4.2,151,148,57.9,3.9,0.9,13.3,126.6,1289,227,778,credit
47,University at Albany-SUNY ,"Albany, NY",2014,55,3.4,3.7,155,155,26,3.5,0.5,6.8,125.8,1001,9370,16680,year
51,Boston University ,"Boston, MA",2014,54,3.4,4.2,153,148,37.3,3.2,0.7,2.9,96.1,576,42400,,year
51,Lehigh University ,"Bethlehem, PA",2014,54,2.8,3.7,157,147,15.8,3.1,1,11.1,412.6,523,550,,credit
51,University of Arizona ,"Tucson, AZ",2014,54,3.6,3.9,154,150,66.2,4.8,0.6,10,204.5,716,11136,26547,year
51,University of Missouri ,"Columbia, MO",2014,54,3.4,3.7,154,146,16.2,4.7,0.8,11.4,123.7,1498,337,869,credit
51,University of Nebraska-Lincoln ,"Lincoln, NE",2014,54,3.4,4.1,155,149,43.4,3.2,0.6,12.8,150.5,1075,285,769,credit
51,University of North Carolina-Greensboro ,"Greensboro, NC",2014,54,3.2,3.9,155,149,40.5,2.4,0.6,13.5,197.8,925,4366,17815,year
51,University of Tennessee-Knoxville ,"Knoxville, TN",2014,54,3.3,4,156,154,53.3,1.2,0.4,11.7,104.5,640,10280,28768,year
58,University of Massachusetts-Amherst ,"Amherst, MA",2014,53,3.4,4,154,145,44.7,3.7,0.6,9.9,193.7,708,2640,9937,year
58,Washington University in St. Louis ,"St. Louis, MO",2014,53,3.1,3.9,162,158,15,1,0.1,0.8,90.7,22,42500,,year
60,Georgia State University ,"Atlanta, GA",2014,52,3,4.1,155,151,39.1,2.4,0.7,12.3,118.3,1582,6048,21600,year
60,University of California-Davis ,"Davis, CA",2014,52,3.4,3.8,155,150,34.1,5.6,0.9,6.5,217.1,429,15387,30489,year
